#2-THETA,#INTENSITY
3,4157
3.05,4322
3.1,3880
3.15,4192
3.2,3996
3.25,3874
3.3,4107
3.35,3617
3.4,3786
3.45,3451
3.5,3093
3.55,3779
3.6,3117
3.65,3178
3.7,3017
3.75,2979
3.8,3245
3.85,2500
3.9,3047
3.95,2943
4,2765
4.05,3112
4.1,2200
4.15,3092
4.2,2546
4.25,2666
4.3,2714
4.35,2369
4.4,2572
4.45,2689
4.5,2378
4.55,2388
4.6,2213
4.65,2476
4.7,2290
4.75,2148
4.8,2622
4.85,2170
4.9,2443
4.95,2266
5,2016
5.05,2213
5.1,2218
5.15,2226
5.2,2322
5.25,2153
5.3,2223
5.35,2033
5.4,2094
5.45,2189
5.5,2097
5.55,2012
5.6,1997
5.65,1936
5.7,2180
5.75,2037
5.8,1979
5.85,1984
5.9,1846
5.95,1840
6,2184
6.05,1908
6.1,1866
6.15,1842
6.2,2021
6.25,1850
6.3,1968
6.35,1877
6.4,1670
6.45,2040
6.5,1822
6.55,1913
6.6,1819
6.65,1877
6.7,1923
6.75,1760
6.8,1842
6.85,1943
6.9,1885
6.95,1993
7,1800
7.05,1705
7.1,1841
7.15,1983
7.2,1862
7.25,1808
7.3,1623
7.35,1790
7.4,1735
7.45,1739
7.5,1765
7.55,1636
7.6,1808
7.65,1833
7.7,1846
7.75,1615
7.8,1847
7.85,1764
7.9,1721
7.95,1766
8,1599
8.05,1787
8.1,1757
8.15,1873
8.2,1792
8.25,1888
8.3,1796
8.35,1749
8.4,1803
8.45,1606
8.5,1757
8.55,1866
8.6,1659
8.65,1697
8.7,1622
8.75,1729
8.8,1907
8.85,1678
8.9,1765
8.95,1744
9,1813
9.05,1731
9.1,1639
9.15,1653
9.2,1748
9.25,1654
9.3,1719
9.35,1844
9.4,1679
9.45,1653
9.5,1823
9.55,1754
9.6,1746
9.65,1671
9.7,1755
9.75,1831
9.8,1812
9.85,1691
9.9,1835
9.95,1788
10,1702
10.05,1640
10.1,1790
10.15,1819
10.2,1687
10.25,1715
10.3,1788
10.35,1738
10.4,1538
10.45,1651
10.5,1719
10.55,1748
10.6,1624
10.65,1677
10.7,1545
10.75,1686
10.8,1739
10.85,1588
10.9,1696
10.95,1585
11,1766
11.05,1753
11.1,1705
11.15,1693
11.2,1717
11.25,1701
11.3,1623
11.35,1607
11.4,1706
11.45,1623
11.5,1623
11.55,1595
11.6,1691
11.65,1775
11.7,1614
11.75,1815
11.8,1665
11.85,1506
11.9,1575
11.95,1636
12,1670
12.05,1654
12.1,1707
12.15,1673
12.2,1698
12.25,1680
12.3,1717
12.35,1671
12.4,1668
12.45,1751
12.5,1688
12.55,1662
12.6,1644
12.65,1770
12.7,1656
12.75,1709
12.8,1536
12.85,1748
12.9,1718
12.95,1593
13,1572
13.05,1679
13.1,1768
13.15,1646
13.2,1675
13.25,1716
13.3,1713
13.35,1667
13.4,1667
13.45,1727
13.5,1710
13.55,1720
13.6,1613
13.65,1748
13.7,1809
13.75,1756
13.8,1789
13.85,1777
13.9,1745
13.95,1750
14,1711
14.05,1672
14.1,1664
14.15,1770
14.2,1674
14.25,1741
14.3,1726
14.35,1693
14.4,1765
14.45,1638
14.5,1740
14.55,1797
14.6,1766
14.65,1692
14.7,1736
14.75,1703
14.8,1721
14.85,1758
14.9,1729
14.95,1795
15,1714
15.05,1592
15.1,1727
15.15,1720
15.2,1657
15.25,1846
15.3,1836
15.35,1692
15.4,1720
15.45,1796
15.5,1868
15.55,1808
15.6,1872
15.65,1905
15.7,2063
15.75,2173
15.8,2358
15.85,2631
15.9,2575
15.95,2686
16,2565
16.05,2407
16.1,2291
16.15,2032
16.2,1979
16.25,1941
16.3,1963
16.35,1893
16.4,1729
16.45,1855
16.5,1831
16.55,1773
16.6,1784
16.65,1814
16.7,1757
16.75,1785
16.8,1765
16.85,1720
16.9,1814
16.95,1852
17,1880
17.05,1852
17.1,1915
17.15,1907
17.2,1896
17.25,1888
17.3,1905
17.35,1797
17.4,1843
17.45,2040
17.5,2028
17.55,2052
17.6,2045
17.65,2154
17.7,2166
17.75,2050
17.8,1921
17.85,1952
17.9,1900
17.95,1888
18,1997
18.05,2097
18.1,2024
18.15,1974
18.2,2040
18.25,2133
18.3,2074
18.35,2084
18.4,1847
18.45,2090
18.5,2045
18.55,1950
18.6,2024
18.65,1984
18.7,2090
18.75,2195
18.8,2105
18.85,2029
18.9,2077
18.95,2010
19,2030
19.05,2043
19.1,2153
19.15,2057
19.2,1891
19.25,2139
19.3,2109
19.35,1970
19.4,1991
19.45,2123
19.5,2092
19.55,1901
19.6,2197
19.65,2086
19.7,2196
19.75,2317
19.8,2300
19.85,2439
19.9,2527
19.95,2631
20,2566
20.05,2465
20.1,2386
20.15,2199
20.2,2071
20.25,2064
20.3,2114
20.35,1979
20.4,2048
20.45,1995
20.5,2064
20.55,1915
20.6,2079
20.65,2059
20.7,2027
20.75,1981
20.8,2010
20.85,2002
20.9,2159
20.95,2070
21,2057
21.05,1966
21.1,2089
21.15,2040
21.2,2074
21.25,2206
21.3,2187
21.35,2049
21.4,2174
21.45,2048
21.5,2083
21.55,2043
21.6,2069
21.65,2091
21.7,2010
21.75,2104
21.8,2130
21.85,2141
21.9,2296
21.95,2326
22,2364
22.05,2289
22.1,2341
22.15,2137
22.2,2159
22.25,2116
22.3,2054
22.35,2121
22.4,2082
22.45,2172
22.5,2103
22.55,2069
22.6,2058
22.65,2218
22.7,2059
22.75,1998
22.8,2147
