#2-THETA,#INTENSITY
3,124
3.049,131
3.098,119
3.147,137
3.196,153
3.245,115
3.294,135
3.343,128
3.392,135
3.441,153
3.49,134
3.539,123
3.588,114
3.637,121
3.686,140
3.735,104
3.784,135
3.833,104
3.882,137
3.931,145
3.98,104
4.029,111
4.078,126
4.127,128
4.176,149
4.225,93
4.274,149
4.323,114
4.372,126
4.421,117
4.47,103
4.519,123
4.568,129
4.617,117
4.666,111
4.715,114
4.764,117
4.813,128
4.862,123
4.911,97
4.96,118
5.009,127
5.058,135
5.107,96
5.156,118
5.205,115
5.254,136
5.303,101
5.352,132
5.401,96
5.45,129
5.499,97
5.548,124
5.597,100
5.646,129
5.695,110
5.744,121
5.793,114
5.842,127
5.891,139
5.94,97
5.989,106
6.038,103
6.087,106
6.136,105
6.185,123
6.234,111
6.283,115
6.332,111
6.381,115
6.43,98
6.479,115
6.528,123
6.577,116
6.626,121
6.675,119
6.724,108
6.773,126
6.822,133
6.871,126
6.92,111
6.969,105
7.018,122
7.067,131
7.116,126
7.165,140
7.214,126
7.263,116
7.312,115
7.361,126
7.41,120
7.459,121
7.508,122
7.557,113
7.606,89
7.655,95
7.704,121
7.753,102
7.802,106
7.851,98
7.9,103
7.949,99
7.998,109
8.047,101
8.096,102
8.145,88
8.194,107
8.243,97
8.292,106
8.341,91
8.39,114
8.439,112
8.488,100
8.537,86
8.586,109
8.635,100
8.684,95
8.733,107
8.782,106
8.831,105
8.88,113
8.929,91
8.978,93
9.027,110
9.076,101
9.125,106
9.174,85
9.223,113
9.272,103
9.321,110
9.37,105
9.419,101
9.468,110
9.517,100
9.566,99
9.615,105
9.664,99
9.713,99
9.762,110
9.811,102
9.86,100
9.909,108
9.958,94
10.007,114
10.056,94
10.105,104
10.154,102
10.203,100
10.252,118
10.301,117
10.35,120
10.399,108
10.448,111
10.497,102
10.546,107
10.595,95
10.644,98
10.693,112
10.742,104
10.791,104
10.84,90
10.889,104
10.938,117
10.987,109
11.036,126
11.085,130
11.134,130
11.183,155
11.232,208
11.281,311
11.33,469
11.379,563
11.428,551
11.477,454
11.526,332
11.575,199
11.624,134
11.673,118
11.722,97
11.771,100
11.82,111
11.869,104
11.918,111
11.967,139
12.016,151
12.065,317
12.114,529
12.163,810
12.212,904
12.261,913
12.31,711
12.359,453
12.408,227
12.457,137
12.506,106
12.555,94
12.604,118
12.653,95
12.702,118
12.751,94
12.8,100
12.849,93
12.898,107
12.947,108
12.996,94
13.045,105
13.094,103
13.143,98
13.192,109
13.241,110
13.29,100
13.339,95
13.388,112
13.437,105
13.486,105
13.535,103
13.584,101
13.633,97
13.682,98
13.731,99
13.78,106
13.829,106
13.878,109
13.927,114
13.976,101
14.025,103
14.074,109
14.123,130
14.172,119
14.221,117
14.27,122
14.319,128
14.368,128
14.417,128
14.466,122
14.515,128
14.564,107
14.613,95
14.662,105
14.711,87
14.76,92
14.809,106
14.858,117
14.907,89
14.956,111
15.005,91
15.054,109
15.103,99
15.152,106
15.201,103
15.25,113
15.299,106
15.348,100
15.397,111
15.446,102
15.495,96
15.544,122
15.593,93
15.642,111
15.691,107
15.74,104
15.789,107
15.838,106
15.887,104
15.936,94
15.985,123
16.034,116
16.083,117
16.132,106
16.181,117
16.23,115
16.279,117
16.328,114
16.377,104
16.426,109
16.475,116
16.524,113
16.573,98
16.622,109
16.671,115
16.72,112
16.769,124
16.818,110
16.867,99
16.916,97
16.965,106
17.014,125
17.063,117
17.112,121
17.161,111
17.21,111
17.259,111
17.308,118
17.357,120
17.406,109
17.455,120
17.504,122
17.553,126
17.602,128
17.651,124
17.7,122
17.749,120
17.798,128
17.847,143
17.896,122
17.945,118
17.994,124
18.043,139
18.092,132
18.141,141
18.19,140
18.239,148
18.288,140
18.337,136
18.386,141
18.435,142
18.484,157
18.533,135
18.582,151
18.631,153
18.68,168
18.729,144
18.778,154
18.827,148
18.876,142
18.925,171
18.974,156
19.023,154
19.072,154
19.121,157
19.17,158
19.219,165
19.268,146
19.317,140
19.366,135
19.415,140
19.464,141
19.513,134
19.562,137
19.611,140
19.66,141
19.709,138
19.758,145
19.807,131
19.856,143
19.905,139
19.954,151
20.003,155
20.052,169
20.101,179
20.15,190
20.199,208
20.248,232
20.297,224
20.346,206
20.395,193
20.444,170
20.493,140
20.542,140
20.591,142
20.64,131
20.689,136
20.738,148
20.787,165
20.836,222
20.885,327
20.934,401
20.983,455
21.032,468
21.081,416
21.13,322
21.179,256
21.228,171
21.277,136
21.326,148
21.375,140
21.424,139
21.473,131
21.522,149
21.571,142
21.62,127
21.669,137
21.718,132
21.767,130
21.816,139
21.865,125
21.914,128
21.963,125
22.012,138
22.061,124
22.11,129
22.159,132
22.208,147
22.257,141
22.306,142
22.355,145
22.404,147
22.453,145
22.502,140
22.551,133
22.6,141
22.649,156
22.698,176
22.747,240
22.796,313
22.845,339
22.894,365
22.943,326
22.992,259
23.041,213
23.09,178
23.139,161
23.188,148
23.237,142
23.286,146
23.335,136
23.384,138
23.433,132
23.482,137
23.531,120
23.58,131
23.629,141
23.678,129
23.727,131
23.776,137
23.825,131
23.874,137
23.923,137
23.972,138
24.021,130
24.07,132
24.119,139
24.168,145
24.217,148
24.266,140
24.315,140
24.364,137
24.413,141
24.462,143
24.511,163
24.56,159
24.609,156
24.658,151
24.707,144
24.756,138
24.805,131
24.854,138
24.903,126
24.952,126
25.001,138
25.05,132
25.099,136
25.148,133
25.197,134
25.246,128
25.295,133
25.344,153
25.393,164
25.442,182
25.491,224
25.54,212
25.589,246
25.638,208
25.687,197
25.736,180
25.785,187
25.834,196
25.883,191
25.932,195
25.981,178
26.03,166
26.079,154
26.128,143
26.177,138
26.226,151
26.275,147
26.324,153
26.373,181
26.422,228
26.471,281
26.52,334
26.569,371
26.618,370
26.667,330
26.716,287
26.765,211
26.814,165
26.863,151
26.912,145
26.961,139
27.01,135
27.059,135
27.108,136
27.157,144
27.206,145
27.255,128
27.304,140
27.353,146
27.402,157
27.451,159
27.5,153
27.549,160
27.598,163
27.647,164
27.696,166
27.745,170
27.794,145
27.843,143
27.892,151
27.941,154
27.99,147
28.039,130
28.088,152
28.137,144
28.186,145
28.235,152
28.284,144
28.333,148
28.382,150
28.431,157
28.48,163
28.529,178
28.578,191
28.627,163
28.676,176
28.725,168
28.774,178
28.823,164
28.872,162
28.921,150
28.97,168
29.019,148
29.068,160
29.117,148
29.166,161
29.215,149
29.264,144
29.313,149
29.362,151
29.411,137
29.46,133
29.509,139
29.558,148
29.607,156
29.656,163
29.705,149
29.754,147
29.803,147
29.852,144
29.901,153
29.95,165
29.999,151
30.048,160
30.097,168
30.146,171
30.195,167
30.244,152
30.293,163
30.342,169
30.391,222
30.44,331
30.489,485
30.538,705
30.587,853
30.636,955
30.685,935
30.734,812
30.783,639
30.832,470
30.881,332
30.93,256
30.979,220
31.028,211
31.077,186
31.126,174
31.175,164
31.224,166
31.273,165
31.322,163
31.371,169
31.42,233
31.469,386
31.518,676
31.567,975
31.616,1181
31.665,1208
31.714,1171
31.763,1134
31.812,1053
31.861,960
31.91,723
31.959,484
32.008,286
32.057,200
32.106,180
32.155,181
32.204,190
32.253,197
32.302,195
32.351,190
32.4,187
32.449,188
32.498,189
32.547,171
32.596,190
32.645,169
32.694,169
32.743,153
32.792,155
32.841,149
32.89,143
32.939,152
32.988,159
33.037,187
33.086,254
33.135,380
33.184,531
33.233,703
33.282,802
33.331,736
33.38,623
33.429,448
33.478,295
33.527,215
33.576,164
33.625,147
33.674,136
33.723,141
33.772,141
33.821,130
33.87,134
33.919,144
33.968,141
34.017,127
34.066,143
34.115,145
34.164,149
34.213,170
34.262,174
34.311,183
34.36,165
34.409,169
34.458,167
34.507,163
34.556,142
34.605,145
34.654,141
34.703,149
34.752,147
34.801,138
34.85,144
