#2-THETA,#INTENSITY
3,32
3.05,15
3.1,27
3.15,19
3.2,21
3.25,18
3.3,11
3.35,22
3.4,12
3.45,14
3.5,17
3.55,14
3.6,10
3.65,21
3.7,18
3.75,24
3.8,16
3.85,18
3.9,20
3.95,28
4,16
4.05,10
4.1,26
4.15,9
4.2,21
4.25,18
4.3,20
4.35,17
4.4,17
4.45,24
4.5,11
4.55,14
4.6,18
4.65,12
4.7,32
4.75,15
4.8,23
4.85,8
4.9,18
4.95,17
5,19
5.05,17
5.1,21
5.15,11
5.2,20
5.25,20
5.3,12
5.35,14
5.4,20
5.45,16
5.5,22
5.55,19
5.6,22
5.65,18
5.7,16
5.75,24
5.8,14
5.85,31
5.9,30
5.95,21
6,18
6.05,24
6.1,22
6.15,34
6.2,27
6.25,25
6.3,21
6.35,29
6.4,30
6.45,30
6.5,29
6.55,33
6.6,44
6.65,27
6.7,30
6.75,28
6.8,28
6.85,28
6.9,28
6.95,23
7,21
7.05,32
7.1,13
7.15,23
7.2,19
7.25,14
7.3,21
7.35,17
7.4,20
7.45,19
7.5,20
7.55,12
7.6,20
7.65,10
7.7,23
7.75,26
7.8,14
7.85,22
7.9,20
7.95,19
8,15
8.05,13
8.1,14
8.15,22
8.2,16
8.25,23
8.3,27
8.35,20
8.4,17
8.45,17
8.5,28
8.55,21
8.6,22
8.65,22
8.7,18
8.75,21
8.8,22
8.85,13
8.9,14
8.95,21
9,25
9.05,25
9.1,17
9.15,25
9.2,25
9.25,23
9.3,24
9.35,17
9.4,23
9.45,24
9.5,23
9.55,20
9.6,24
9.65,18
9.7,28
9.75,23
9.8,17
9.85,16
9.9,20
9.95,18
10,23
10.05,25
10.1,27
10.15,25
10.2,23
10.25,18
10.3,24
10.35,24
10.4,20
10.45,19
10.5,18
10.55,29
10.6,19
10.65,25
10.7,24
10.75,23
10.8,19
10.85,30
10.9,21
10.95,24
11,23
11.05,27
11.1,22
11.15,27
11.2,16
11.25,22
11.3,24
11.35,25
11.4,25
11.45,20
11.5,24
11.55,19
11.6,30
11.65,21
11.7,18
11.75,24
11.8,25
11.85,23
11.9,30
11.95,25
12,24
12.05,23
12.1,25
12.15,17
12.2,28
12.25,23
12.3,26
12.35,24
12.4,21
12.45,22
12.5,21
12.55,20
12.6,25
12.65,22
12.7,25
12.75,26
12.8,23
12.85,25
12.9,27
12.95,24
13,24
13.05,23
13.1,26
13.15,22
13.2,16
13.25,25
13.3,28
13.35,25
13.4,21
13.45,27
13.5,31
13.55,23
13.6,23
13.65,27
13.7,19
13.75,26
13.8,25
13.85,24
13.9,22
13.95,23
14,20
14.05,21
14.1,20
14.15,27
14.2,25
14.25,29
14.3,23
14.35,25
14.4,35
14.45,25
14.5,23
14.55,32
14.6,30
14.65,24
14.7,32
14.75,23
14.8,32
14.85,30
14.9,18
14.95,25
15,27
15.05,27
15.1,24
15.15,30
15.2,26
15.25,28
15.3,25
15.35,30
15.4,28
15.45,24
15.5,20
15.55,30
15.6,25
15.65,31
15.7,26
15.75,32
15.8,27
15.85,30
15.9,28
15.95,28
16,22
16.05,29
16.1,28
16.15,34
16.2,30
16.25,28
16.3,30
16.35,32
16.4,32
16.45,33
16.5,31
16.55,31
16.6,30
16.65,28
16.7,31
16.75,34
16.8,27
16.85,28
16.9,28
16.95,30
17,31
17.05,30
17.1,37
17.15,27
17.2,25
17.25,27
17.3,36
17.35,30
17.4,31
17.45,33
17.5,29
17.55,33
17.6,34
17.65,28
17.7,25
17.75,28
17.8,33
17.85,29
17.9,30
17.95,30
18,33
18.05,34
18.1,27
18.15,30
18.2,26
18.25,29
18.3,27
18.35,29
18.4,26
18.45,30
18.5,31
18.55,37
18.6,37
18.65,31
18.7,30
18.75,27
18.8,32
18.85,29
18.9,30
18.95,34
19,29
19.05,29
19.1,29
19.15,31
19.2,23
19.25,33
19.3,31
19.35,31
19.4,25
19.45,29
19.5,30
19.55,34
19.6,27
19.65,31
19.7,28
19.75,35
19.8,32
19.85,28
19.9,28
19.95,29
20,32
20.05,34
20.1,31
20.15,26
20.2,32
20.25,36
20.3,36
20.35,43
20.4,50
20.45,55
20.5,56
20.55,57
20.6,58
20.65,55
20.7,49
20.75,36
20.8,35
20.85,39
20.9,24
20.95,28
21,28
21.05,30
21.1,28
21.15,23
21.2,31
21.25,32
21.3,25
21.35,27
21.4,37
21.45,32
21.5,33
21.55,31
21.6,31
21.65,28
21.7,31
21.75,27
21.8,31
21.85,28
21.9,30
21.95,35
22,28
22.05,35
22.1,34
22.15,33
22.2,31
22.25,31
22.3,46
22.35,41
22.4,49
22.45,42
22.5,46
22.55,38
22.6,38
22.65,43
22.7,37
22.75,32
22.8,30
22.85,30
22.9,30
22.95,34
23,36
23.05,31
23.1,32
23.15,28
23.2,43
23.25,34
23.3,35
23.35,30
23.4,31
23.45,29
23.5,31
23.55,31
23.6,37
23.65,31
23.7,31
23.75,33
23.8,37
23.85,32
23.9,32
23.95,36
24,32
24.05,29
24.1,35
24.15,30
24.2,33
24.25,34
24.3,33
24.35,31
24.4,35
24.45,31
24.5,41
24.55,52
24.6,79
24.65,106
24.7,151
24.75,176
24.8,184
24.85,183
24.9,156
24.95,112
25,84
25.05,62
25.1,42
25.15,46
25.2,32
25.25,29
25.3,34
25.35,31
25.4,37
25.45,32
25.5,33
25.55,39
25.6,33
25.65,36
25.7,33
25.75,27
25.8,34
25.85,36
25.9,25
25.95,34
26,36
26.05,32
26.1,30
26.15,34
26.2,34
26.25,30
26.3,30
26.35,34
26.4,32
26.45,30
26.5,31
26.55,25
26.6,31
26.65,34
