#2-THETA,#INTENSITY
2,6860
2.05,11059
2.1,6970
2.15,9198
2.2,8062
2.25,7227
2.3,9135
2.35,5575
2.4,7761
2.45,7044
2.5,5672
2.55,6271
2.6,5406
2.65,6302
2.7,5597
2.75,4769
2.8,5047
2.85,4638
2.9,4635
2.95,4439
3,4150
3.05,3893
3.1,3814
3.15,3776
3.2,3682
3.25,3331
3.3,3553
3.35,3164
3.4,2816
3.45,3098
3.5,3004
3.55,2876
3.6,2527
3.65,2726
3.7,2581
3.75,2214
3.8,2516
3.85,2195
3.9,2377
3.95,2205
4,2108
4.05,2193
4.1,1805
4.15,2138
4.2,1856
4.25,1829
4.3,1954
4.35,1651
4.4,1833
4.45,1805
4.5,1763
4.55,1758
4.6,1572
4.65,1643
4.7,1682
4.75,1463
4.8,1556
4.85,1461
4.9,1511
4.95,1509
5,1479
5.05,1457
5.1,1469
5.15,1283
5.2,1406
5.25,1392
5.3,1322
5.35,1224
5.4,1379
5.45,1293
5.5,1341
5.55,1222
5.6,1248
5.65,1298
5.7,1245
5.75,1295
5.8,1260
5.85,1279
5.9,1298
5.95,1228
6,1322
6.05,1288
6.1,1413
6.15,1380
6.2,1410
6.25,1569
6.3,1552
6.35,1518
6.4,1662
6.45,1570
6.5,1553
6.55,1539
6.6,1559
6.65,1458
6.7,1399
6.75,1443
6.8,1272
6.85,1242
6.9,1173
6.95,1062
7,1053
7.05,1060
7.1,982
7.15,982
7.2,977
7.25,941
7.3,910
7.35,938
7.4,900
7.45,884
7.5,862
7.55,904
7.6,907
7.65,876
7.7,862
7.75,857
7.8,865
7.85,838
7.9,844
7.95,834
8,810
8.05,859
8.1,846
8.15,827
8.2,789
8.25,758
8.3,772
8.35,835
8.4,771
8.45,808
8.5,789
8.55,773
8.6,737
8.65,783
8.7,729
8.75,811
8.8,768
8.85,751
8.9,756
8.95,782
9,777
9.05,765
9.1,730
9.15,741
9.2,742
9.25,724
9.3,743
9.35,721
9.4,748
9.45,741
9.5,763
9.55,733
9.6,701
9.65,741
9.7,707
9.75,749
9.8,692
9.85,728
9.9,688
9.95,746
10,740
10.05,712
10.1,696
10.15,729
10.2,699
10.25,716
10.3,685
10.35,730
10.4,720
10.45,718
10.5,683
10.55,706
10.6,656
