2-THETA,INTENSITY
2,2731
2.05,3804
2.1,3138
2.15,3742
2.2,3073
2.25,2694
2.3,3700
2.35,2294
2.4,3018
2.45,2949
2.5,2357
2.55,2398
2.6,2372
2.65,2410
2.7,2347
2.75,2248
2.8,2159
2.85,2057
2.9,1944
2.95,1856
3,1814
3.05,1791
3.1,1729
3.15,1657
3.2,1795
3.25,1419
3.3,1538
3.35,1441
3.4,1299
3.45,1414
3.5,1245
3.55,1480
3.6,1174
3.65,1349
3.7,1305
3.75,1094
3.8,1242
3.85,1059
3.9,1166
3.95,1053
4,1029
4.05,1076
4.1,950
4.15,1105
4.2,985
4.25,932
4.3,982
4.35,880
4.4,923
4.45,925
4.5,890
4.55,976
4.6,802
4.65,857
4.7,829
4.75,762
4.8,773
4.85,802
4.9,752
4.95,783
5,799
5.05,785
5.1,778
5.15,731
5.2,741
5.25,813
5.3,797
5.35,733
5.4,708
5.45,681
5.5,702
5.55,743
5.6,716
5.65,667
5.7,687
5.75,679
5.8,691
5.85,680
5.9,635
5.95,612
6,617
6.05,639
6.1,658
6.15,622
6.2,636
6.25,632
6.3,599
6.35,598
6.4,596
6.45,577
6.5,583
6.55,553
6.6,558
6.65,584
6.7,560
6.75,571
6.8,585
6.85,590
6.9,522
6.95,514
7,582
7.05,519
7.1,526
7.15,515
7.2,578
7.25,550
7.3,542
7.35,528
7.4,510
7.45,516
7.5,531
7.55,502
7.6,525
7.65,527
7.7,498
7.75,499
7.8,512
7.85,488
7.9,535
7.95,504
8,523
8.05,491
8.1,488
8.15,501
8.2,509
8.25,502
8.3,492
8.35,485
8.4,459
8.45,489
8.5,447
8.55,505
8.6,447
8.65,482
8.7,514
8.75,497
8.8,468
8.85,461
8.9,462
8.95,511
9,500
9.05,492
9.1,453
9.15,457
9.2,453
9.25,471
9.3,436
9.35,439
9.4,463
9.45,450
9.5,456
9.55,421
9.6,425
9.65,415
9.7,448
9.75,474
9.8,431
9.85,435
9.9,452
9.95,429
10,458
10.05,442
10.1,487
10.15,453
10.2,427
10.25,457
10.3,467
10.35,459
10.4,470
10.45,428
10.5,466
10.55,422
10.6,426
10.65,423
10.7,436
10.75,428
10.8,401
10.85,427
10.9,420
10.95,460
11,420
