2-THETA,INTENSITY
2,4983
2.05,7420
2.1,5660
2.15,6533
2.2,5899
2.25,5183
2.3,6502
2.35,4227
2.4,5780
2.45,5489
2.5,4448
2.55,5151
2.6,4293
2.65,4911
2.7,4418
2.75,4160
2.8,4148
2.85,3887
2.9,3795
2.95,3877
3,3524
3.05,3499
3.1,3297
3.15,3088
3.2,3444
3.25,2673
3.3,3258
3.35,2931
3.4,2865
3.45,3030
3.5,2441
3.55,2863
3.6,2394
3.65,2686
3.7,2646
3.75,2226
3.8,2406
3.85,2256
3.9,2398
3.95,2434
4,1954
4.05,2360
4.1,1913
4.15,2165
4.2,1979
4.25,1970
4.3,1925
4.35,1742
4.4,1886
4.45,1880
4.5,1795
4.55,1791
4.6,1642
4.65,1747
4.7,1663
4.75,1591
4.8,1451
4.85,1570
4.9,1525
4.95,1556
5,1551
5.05,1484
5.1,1482
5.15,1443
5.2,1456
5.25,1362
5.3,1345
5.35,1326
5.4,1392
5.45,1226
5.5,1314
5.55,1315
5.6,1221
5.65,1254
5.7,1255
5.75,1215
5.8,1159
5.85,1245
5.9,1154
5.95,1154
6,1117
6.05,1056
6.1,1111
6.15,1100
6.2,1009
6.25,1051
6.3,1034
6.35,1021
6.4,999
6.45,908
6.5,973
6.55,997
6.6,983
6.65,945
6.7,924
6.75,890
6.8,917
6.85,951
6.9,873
6.95,820
7,812
7.05,836
7.1,836
7.15,875
7.2,830
7.25,910
7.3,807
7.35,774
7.4,775
7.45,806
7.5,768
7.55,786
7.6,792
7.65,798
7.7,774
7.75,703
7.8,769
7.85,777
7.9,706
7.95,738
8,734
8.05,703
8.1,705
8.15,699
8.2,681
8.25,688
8.3,718
8.35,691
8.4,651
8.45,656
8.5,696
8.55,660
8.6,685
8.65,680
8.7,662
8.75,651
8.8,640
8.85,644
8.9,669
8.95,655
9,634
9.05,665
9.1,626
9.15,655
9.2,628
9.25,608
9.3,607
9.35,611
9.4,572
9.45,566
9.5,612
9.55,577
9.6,599
9.65,630
9.7,578
9.75,591
9.8,602
9.85,620
9.9,626
9.95,598
10,570
10.05,595
10.1,574
10.15,531
10.2,554
10.25,556
10.3,550
10.35,571
10.4,560
10.45,528
10.5,571
10.55,506
10.6,542
10.65,524
10.7,544
10.75,534
10.8,551
10.85,530
10.9,521
10.95,522
11,564
11.05,517
11.1,508
11.15,532
11.2,522
11.25,508
11.3,489
11.35,482
11.4,542
11.45,518
11.5,478
11.55,502
11.6,502
11.65,480
11.7,483
11.75,505
11.8,507
11.85,497
11.9,479
11.95,521
12,508
12.05,493
12.1,487
12.15,485
12.2,499
12.25,456
12.3,488
12.35,505
12.4,494
12.45,458
12.5,473
12.55,485
12.6,503
12.65,472
12.7,457
12.75,475
12.8,470
12.85,505
12.9,490
12.95,473
