#2-THETA,#INTENSITY
1.95,1404
2,863
2.05,1256
2.1,932
2.15,1203
2.2,1040
2.25,885
2.3,1271
2.35,816
2.4,1093
2.45,900
2.5,845
2.55,918
2.6,774
2.65,890
2.7,848
2.75,797
2.8,803
2.85,785
2.9,695
2.95,777
3,712
3.05,727
3.1,664
3.15,614
3.2,687
3.25,567
3.3,683
3.35,569
3.4,609
3.45,629
3.5,569
3.55,654
3.6,483
3.65,579
3.7,530
3.75,511
3.8,581
3.85,431
3.9,572
3.95,486
4,519
4.05,553
4.1,418
4.15,521
4.2,464
4.25,459
4.3,464
4.35,451
4.4,477
4.45,474
4.5,432
4.55,443
4.6,426
4.65,381
4.7,383
4.75,420
4.8,435
4.85,416
4.9,422
4.95,417
5,445
5.05,445
5.1,428
5.15,403
5.2,431
5.25,382
5.3,429
5.35,396
5.4,483
5.45,420
5.5,425
5.55,425
5.6,388
5.65,423
5.7,405
5.75,411
5.8,443
5.85,435
5.9,388
5.95,405
6,365
6.05,382
6.1,398
6.15,414
6.2,369
6.25,387
6.3,372
6.35,429
6.4,378
6.45,347
6.5,348
6.55,354
6.6,395
6.65,385
6.7,372
6.75,379
6.8,390
6.85,390
6.9,333
6.95,337
7,354
7.05,364
7.1,408
7.15,359
7.2,373
7.25,363
7.3,353
7.35,354
7.4,368
7.45,343
7.5,358
7.55,377
7.6,360
7.65,363
7.7,386
7.75,382
7.8,353
7.85,339
7.9,333
7.95,390
8,373
8.05,356
8.1,367
8.15,328
8.2,344
8.25,337
8.3,362
8.35,387
8.4,318
8.45,367
8.5,339
8.55,370
8.6,331
8.65,345
8.7,315
8.75,344
8.8,364
8.85,345
8.9,353
8.95,349
9,342
9.05,352
9.1,347
9.15,331
9.2,363
9.25,342
9.3,331
9.35,348
9.4,332
9.45,313
9.5,354
9.55,351
9.6,380
9.65,348
9.7,343
9.75,367
9.8,359
9.85,378
9.9,361
9.95,344
10,323
10.05,354
10.1,339
10.15,323
10.2,363
10.25,355
10.3,344
10.35,346
10.4,354
10.45,345
10.5,332
10.55,332
10.6,313
10.65,321
10.7,356
10.75,342
10.8,332
10.85,325
10.9,326
10.95,371
11,366
11.05,360
11.1,374
11.15,358
11.2,352
11.25,371
11.3,316
11.35,344
11.4,343
11.45,328
11.5,331
11.55,336
11.6,338
11.65,342
11.7,331
11.75,362
11.8,349
11.85,325
11.9,340
11.95,377
12,343
12.05,350
12.1,355
12.15,340
12.2,339
12.25,384
12.3,335
12.35,335
12.4,360
12.45,311
12.5,338
12.55,364
12.6,345
12.65,344
12.7,364
12.75,338
12.8,310
12.85,360
12.9,323
12.95,367
13,392
13.05,343
13.1,339
13.15,356
13.2,342
13.25,319
13.3,350
13.35,342
13.4,346
13.45,326
13.5,340
13.55,378
13.6,340
13.65,339
13.7,358
13.75,348
13.8,347
13.85,343
13.9,352
13.95,345
14,346
14.05,363
14.1,384
14.15,349
14.2,358
14.25,360
14.3,332
14.35,326
14.4,364
14.45,385
14.5,378
14.55,352
14.6,365
14.65,349
14.7,377
14.75,362
14.8,377
14.85,374
14.9,358
14.95,371
15,368
15.05,340
15.1,361
15.15,373
15.2,338
15.25,381
15.3,356
15.35,350
15.4,353
15.45,348
15.5,348
15.55,360
15.6,380
15.65,365
15.7,388
15.75,426
15.8,463
15.85,485
15.9,499
15.95,508
16,530
16.05,499
16.1,500
16.15,457
16.2,433
16.25,432
16.3,403
16.35,395
16.4,385
16.45,402
16.5,360
16.55,376
16.6,357
16.65,385
16.7,397
16.75,359
16.8,341
16.85,400
16.9,401
16.95,395
17,411
17.05,381
17.1,412
17.15,405
17.2,360
17.25,376
17.3,393
17.35,405
17.4,426
17.45,406
17.5,400
17.55,407
17.6,403
17.65,403
17.7,448
17.75,437
17.8,418
17.85,430
17.9,406
17.95,387
18,427
18.05,405
18.1,410
18.15,429
18.2,436
18.25,436
18.3,428
18.35,405
18.4,411
18.45,411
18.5,424
18.55,427
18.6,433
18.65,442
18.7,423
18.75,438
18.8,430
18.85,435
18.9,424
18.95,450
19,423
