#2-THETA,#INTENSITY
2,3480
2.05,4431
2.1,3524
2.15,4296
2.2,3585
2.25,3449
2.3,4440
2.35,2846
2.4,3637
2.45,3386
2.5,2965
2.55,3219
2.6,2737
2.65,3273
2.7,2895
2.75,2627
2.8,2761
2.85,2708
2.9,2440
2.95,2315
3,2368
3.05,2289
3.1,2085
3.15,2033
3.2,2320
3.25,1809
3.3,2187
3.35,1820
3.4,1786
3.45,2032
3.5,1596
3.55,1859
3.6,1514
3.65,1784
3.7,1668
3.75,1363
3.8,1569
3.85,1380
3.9,1512
3.95,1510
4,1344
4.05,1496
4.1,1225
4.15,1424
4.2,1260
4.25,1283
4.3,1444
4.35,1165
4.4,1256
4.45,1191
4.5,1153
4.55,1217
4.6,1093
4.65,1044
4.7,1129
4.75,1028
4.8,965
4.85,1045
4.9,995
4.95,1049
5,1044
5.05,1092
5.1,980
5.15,1002
5.2,957
5.25,848
5.3,917
5.35,837
5.4,960
5.45,965
5.5,911
5.55,866
5.6,877
5.65,847
5.7,873
5.75,884
5.8,831
5.85,833
5.9,846
5.95,803
6,811
6.05,767
6.1,744
6.15,772
6.2,717
6.25,716
6.3,654
6.35,711
6.4,736
6.45,692
6.5,660
6.55,696
6.6,708
6.65,670
6.7,647
6.75,693
6.8,712
6.85,673
6.9,652
6.95,621
7,568
7.05,590
7.1,585
7.15,595
7.2,609
7.25,580
7.3,600
7.35,612
7.4,573
7.45,603
7.5,543
7.55,535
7.6,563
7.65,536
7.7,578
7.75,547
7.8,544
7.85,548
7.9,516
7.95,540
8,568
8.05,537
8.1,510
8.15,542
8.2,565
8.25,521
8.3,546
8.35,502
8.4,476
8.45,516
8.5,484
8.55,488
8.6,505
8.65,508
8.7,483
8.75,505
8.8,483
8.85,498
8.9,528
8.95,490
9,469
9.05,503
9.1,484
9.15,469
9.2,489
9.25,475
9.3,469
9.35,448
9.4,456
9.45,471
9.5,474
9.55,474
9.6,432
9.65,489
9.7,453
9.75,469
9.8,473
9.85,486
9.9,465
9.95,459
10,449
10.05,444
10.1,431
10.15,408
10.2,391
10.25,470
10.3,455
10.35,436
10.4,417
10.45,469
10.5,433
10.55,419
10.6,398
10.65,419
10.7,420
10.75,393
10.8,392
10.85,431
10.9,423
10.95,443
11,441
11.05,444
11.1,435
11.15,443
11.2,406
11.25,428
11.3,415
11.35,428
11.4,432
11.45,430
11.5,403
11.55,392
11.6,410
11.65,404
11.7,416
11.75,401
11.8,437
11.85,354
11.9,417
11.95,437
12,403
12.05,401
12.1,394
12.15,401
12.2,380
12.25,437
12.3,403
12.35,398
12.4,397
12.45,380
12.5,394
12.55,415
12.6,406
12.65,410
12.7,417
12.75,384
12.8,379
12.85,399
12.9,411
12.95,424
13,415
13.05,413
13.1,377
13.15,399
13.2,389
13.25,403
13.3,390
13.35,383
13.4,397
13.45,384
13.5,397
13.55,418
13.6,405
13.65,393
13.7,411
13.75,416
13.8,397
13.85,408
13.9,405
13.95,378
14,395
14.05,422
14.1,407
14.15,409
14.2,414
14.25,401
14.3,398
14.35,398
14.4,426
14.45,399
14.5,429
14.55,420
14.6,421
14.65,385
14.7,391
14.75,443
14.8,417
14.85,400
14.9,414
14.95,411
15,409
15.05,423
15.1,428
15.15,397
15.2,382
15.25,416
15.3,404
15.35,423
15.4,396
15.45,401
15.5,393
15.55,423
15.6,417
15.65,421
15.7,430
15.75,431
15.8,461
15.85,475
15.9,484
15.95,564
16,536
16.05,513
16.1,509
16.15,517
16.2,508
16.25,472
16.3,468
16.35,474
16.4,476
16.45,462
16.5,459
16.55,414
16.6,477
16.65,457
16.7,486
16.75,447
16.8,457
16.85,466
16.9,469
16.95,531
17,544
17.05,547
17.1,516
17.15,517
17.2,507
17.25,493
17.3,483
17.35,511
17.4,510
17.45,512
17.5,508
17.55,512
17.6,487
17.65,522
17.7,505
17.75,511
17.8,517
17.85,488
17.9,520
17.95,516
18,535
18.05,530
18.1,571
18.15,534
18.2,590
18.25,580
18.3,584
18.35,577
18.4,574
18.45,609
18.5,623
18.55,650
18.6,632
18.65,634
18.7,662
18.75,649
18.8,663
18.85,700
18.9,688
18.95,690
19,678
19.05,667
19.1,661
19.15,651
19.2,664
19.25,638
19.3,635
19.35,634
19.4,647
19.45,596
19.5,606
19.55,610
19.6,594
19.65,607
19.7,608
19.75,615
19.8,606
19.85,649
19.9,636
19.95,645
20,643
20.05,618
20.1,612
20.15,636
20.2,606
20.25,600
20.3,623
20.35,652
20.4,615
20.45,589
20.5,622
20.55,618
20.6,605
20.65,611
20.7,596
20.75,616
20.8,586
20.85,607
20.9,618
20.95,581
21,593
21.05,611
21.1,589
21.15,636
21.2,618
21.25,652
21.3,653
21.35,662
21.4,630
21.45,609
21.5,618
21.55,598
21.6,585
21.65,580
21.7,630
21.75,595
21.8,632
21.85,602
21.9,669
21.95,650
22,661
22.05,629
22.1,640
22.15,629
22.2,606
22.25,647
22.3,657
22.35,629
22.4,658
22.45,641
22.5,630
22.55,662
22.6,662
22.65,652
22.7,626
22.75,634
22.8,646
22.85,645
22.9,686
22.95,662
23,668
23.05,699
23.1,706
23.15,716
23.2,714
23.25,716
23.3,693
23.35,698
23.4,694
23.45,684
23.5,673
23.55,670
23.6,704
23.65,690
23.7,720
23.75,727
23.8,745
23.85,750
23.9,726
23.95,747
24,769
24.05,747
24.1,733
24.15,787
24.2,758
24.25,794
24.3,810
24.35,776
24.4,753
24.45,751
24.5,760
24.55,784
24.6,718
24.65,769
24.7,718
24.75,758
24.8,749
24.85,803
24.9,769
24.95,737
25,760
25.05,781
25.1,800
25.15,799
25.2,835
25.25,882
25.3,896
25.35,983
25.4,1072
25.45,1270
25.5,1419
25.55,1549
25.6,1559
25.65,1582
25.7,1347
25.75,1201
25.8,1015
25.85,916
25.9,884
25.95,801
26,832
26.05,802
26.1,798
26.15,846
26.2,820
26.25,851
26.3,863
26.35,887
26.4,898
26.45,906
26.5,903
26.55,928
26.6,895
26.65,901
26.7,876
26.75,850
26.8,812
26.85,783
26.9,806
26.95,833
27,798
27.05,795
27.1,801
27.15,794
27.2,780
27.25,819
27.3,827
27.35,917
27.4,941
27.45,1020
27.5,1099
27.55,1167
27.6,1139
27.65,1116
27.7,1030
27.75,956
27.8,932
27.85,926
27.9,926
27.95,946
28,954
28.05,918
28.1,901
28.15,884
28.2,890
28.25,875
28.3,886
28.35,955
28.4,946
28.45,974
28.5,934
28.55,942
28.6,852
28.65,826
28.7,788
28.75,755
28.8,753
28.85,739
28.9,786
28.95,746
29,784
29.05,755
29.1,819
29.15,832
29.2,855
29.25,886
29.3,909
29.35,965
29.4,1041
29.45,1122
29.5,1191
29.55,1218
29.6,1264
29.65,1212
29.7,1135
29.75,1116
29.8,1016
29.85,959
29.9,922
29.95,883
30,850
30.05,832
30.1,799
30.15,754
30.2,774
30.25,750
30.3,709
30.35,759
30.4,748
30.45,723
30.5,734
30.55,736
30.6,756
30.65,789
30.7,794
30.75,820
30.8,857
30.85,892
30.9,934
30.95,981
31,985
31.05,985
31.1,957
31.15,881
31.2,864
31.25,789
31.3,768
31.35,770
31.4,762
31.45,733
31.5,722
31.55,711
31.6,721
31.65,729
31.7,702
31.75,738
31.8,759
31.85,779
31.9,846
31.95,891
32,975
32.05,1077
32.1,1208
32.15,1315
32.2,1499
32.25,1669
32.3,1876
32.35,1952
32.4,1996
32.45,1904
32.5,1960
32.55,1913
32.6,1852
32.65,1787
32.7,1569
32.75,1392
32.8,1258
32.85,1109
32.9,1039
32.95,995
33,981
33.05,972
