#2-THETA,#INTENSITY
2,4950
2.05,7989
2.1,6175
2.15,6822
2.2,6673
2.25,5775
2.3,7470
2.35,4797
2.4,6469
2.45,5528
2.5,5215
2.55,5577
2.6,5039
2.65,5421
2.7,5134
2.75,4362
2.8,4628
2.85,4311
2.9,4010
2.95,4066
3,3807
3.05,3821
3.1,3783
3.15,3537
3.2,3680
3.25,3119
3.3,3403
3.35,3114
3.4,3029
3.45,3116
3.5,2645
3.55,3114
3.6,2488
3.65,2851
3.7,2954
3.75,2226
3.8,2608
3.85,2211
3.9,2574
3.95,2409
4,2093
4.05,2382
4.1,2025
4.15,2308
4.2,1948
4.25,2036
4.3,2028
4.35,1822
4.4,1956
4.45,1923
4.5,1774
4.55,1885
4.6,1766
4.65,1684
4.7,1606
4.75,1582
4.8,1571
4.85,1635
4.9,1583
4.95,1577
5,1590
5.05,1573
5.1,1535
5.15,1372
5.2,1485
5.25,1433
5.3,1430
5.35,1363
5.4,1323
5.45,1284
5.5,1277
5.55,1341
5.6,1282
5.65,1235
5.7,1180
5.75,1261
5.8,1229
5.85,1192
5.9,1175
5.95,1135
6,1143
6.05,1137
6.1,1135
6.15,1060
6.2,1009
6.25,1090
6.3,978
6.35,1008
6.4,929
6.45,933
6.5,961
6.55,957
6.6,954
6.65,1000
6.7,877
6.75,917
6.8,904
6.85,925
6.9,835
6.95,872
7,890
7.05,799
7.1,829
7.15,820
7.2,836
7.25,861
7.3,786
7.35,791
7.4,733
7.45,800
7.5,784
7.55,728
7.6,753
7.65,712
7.7,767
7.75,758
7.8,726
7.85,783
7.9,724
7.95,703
8,730
8.05,689
8.1,738
8.15,696
8.2,720
8.25,667
8.3,662
8.35,665
8.4,626
8.45,674
8.5,611
8.55,599
8.6,651
8.65,634
8.7,647
8.75,616
8.8,658
8.85,634
8.9,618
8.95,617
9,627
9.05,601
9.1,608
9.15,653
9.2,585
9.25,579
9.3,586
9.35,576
9.4,605
9.45,573
9.5,553
9.55,604
9.6,544
9.65,596
9.7,553
9.75,595
9.8,547
9.85,591
9.9,570
9.95,539
10,529
10.05,555
10.1,522
10.15,550
10.2,517
10.25,533
10.3,537
