#2-THETA,#INTENSITY
2,4226
2.05,6113
2.1,4738
2.15,5806
2.2,4939
2.25,4310
2.3,5949
2.35,3697
2.4,5089
2.45,4414
2.5,3959
2.55,4213
2.6,3841
2.65,4289
2.7,4076
2.75,3685
2.8,3473
2.85,3375
2.9,3085
2.95,3069
3,3133
3.05,3031
3.1,2730
3.15,2722
3.2,2853
3.25,2375
3.3,2764
3.35,2432
3.4,2267
3.45,2415
3.5,2243
3.55,2377
3.6,2074
3.65,2300
3.7,2071
3.75,1821
3.8,2087
3.85,1884
3.9,2070
3.95,1826
4,1738
4.05,1876
4.1,1566
4.15,1980
4.2,1451
4.25,1640
4.3,1623
4.35,1529
4.4,1615
4.45,1562
4.5,1534
4.55,1466
4.6,1387
4.65,1352
4.7,1468
4.75,1279
4.8,1256
4.85,1338
4.9,1332
4.95,1243
5,1295
5.05,1305
5.1,1262
5.15,1323
5.2,1311
5.25,1240
5.3,1210
5.35,1175
5.4,1196
5.45,1065
5.5,1211
5.55,1155
5.6,1187
5.65,1110
5.7,1100
5.75,1180
5.8,1111
5.85,1138
5.9,1116
5.95,1115
6,1028
6.05,975
6.1,1023
6.15,1040
6.2,1009
6.25,1005
6.3,980
6.35,964
6.4,951
6.45,927
6.5,931
6.55,933
6.6,937
6.65,886
6.7,916
6.75,923
6.8,913
6.85,973
6.9,861
6.95,904
7,874
7.05,852
7.1,832
7.15,863
7.2,809
7.25,854
7.3,824
7.35,836
7.4,770
7.45,778
7.5,829
7.55,815
7.6,823
7.65,814
7.7,821
7.75,770
7.8,802
7.85,775
7.9,759
7.95,793
8,742
8.05,786
8.1,743
8.15,736
8.2,757
8.25,725
8.3,725
8.35,723
8.4,730
8.45,755
8.5,716
8.55,754
8.6,717
8.65,740
8.7,693
8.75,704
8.8,764
8.85,680
8.9,698
8.95,726
9,732
9.05,754
9.1,708
9.15,711
9.2,713
9.25,669
9.3,679
9.35,626
9.4,624
9.45,668
9.5,670
9.55,657
9.6,645
9.65,701
9.7,692
9.75,661
9.8,695
9.85,646
9.9,674
9.95,632
10,640
10.05,646
10.1,650
10.15,629
10.2,639
10.25,672
10.3,626
10.35,683
10.4,603
10.45,662
10.5,684
10.55,606
10.6,644
10.65,623
10.7,630
10.75,607
10.8,582
10.85,667
10.9,639
10.95,645
11,609
11.05,628
11.1,606
11.15,605
11.2,581
11.25,655
11.3,597
11.35,598
11.4,583
11.45,578
11.5,554
11.55,579
11.6,599
11.65,575
11.7,587
11.75,574
11.8,622
11.85,571
11.9,585
11.95,605
12,604
12.05,549
12.1,586
12.15,605
12.2,591
12.25,606
12.3,571
12.35,568
12.4,569
12.45,558
12.5,537
12.55,547
12.6,553
12.65,574
12.7,615
12.75,562
12.8,544
12.85,565
12.9,581
12.95,559
13,587
13.05,571
13.1,552
13.15,564
13.2,624
13.25,512
13.3,546
13.35,534
13.4,579
13.45,508
13.5,546
13.55,574
13.6,560
13.65,577
13.7,544
13.75,563
13.8,544
13.85,565
13.9,543
13.95,547
14,536
14.05,572
14.1,589
14.15,554
14.2,561
14.25,532
14.3,586
14.35,565
14.4,575
14.45,566
14.5,567
14.55,566
14.6,599
14.65,566
14.7,587
14.75,562
14.8,592
14.85,575
14.9,550
14.95,576
15,585
15.05,558
15.1,603
15.15,582
15.2,568
15.25,567
15.3,544
15.35,574
15.4,552
15.45,539
15.5,563
15.55,576
15.6,561
15.65,544
15.7,591
15.75,587
15.8,671
15.85,690
15.9,758
15.95,766
16,824
16.05,775
16.1,752
16.15,753
16.2,741
16.25,678
16.3,648
16.35,608
16.4,595
16.45,619
16.5,568
16.55,583
16.6,579
16.65,611
16.7,592
16.75,566
16.8,602
16.85,643
16.9,651
16.95,703
17,743
17.05,702
17.1,707
17.15,704
17.2,679
17.25,688
17.3,631
17.35,667
17.4,623
17.45,665
17.5,645
17.55,662
17.6,692
17.65,665
17.7,693
17.75,674
17.8,665
17.85,650
17.9,611
17.95,630
18,636
18.05,653
18.1,619
18.15,703
18.2,679
18.25,688
18.3,706
18.35,683
18.4,736
18.45,717
18.5,684
18.55,717
18.6,724
18.65,724
18.7,752
18.75,682
18.8,714
18.85,736
18.9,731
18.95,746
19,685
19.05,742
19.1,727
19.15,701
19.2,701
19.25,739
19.3,724
19.35,691
19.4,696
19.45,701
19.5,682
19.55,683
19.6,725
19.65,713
19.7,721
19.75,715
19.8,713
19.85,704
19.9,708
19.95,718
20,719
20.05,703
20.1,700
20.15,739
20.2,680
20.25,719
20.3,713
20.35,703
20.4,742
20.45,716
20.5,714
20.55,708
20.6,738
20.65,691
20.7,717
20.75,704
20.8,736
20.85,711
20.9,717
20.95,720
21,741
21.05,740
21.1,767
21.15,833
21.2,939
21.25,991
21.3,1035
21.35,1038
21.4,930
21.45,865
21.5,763
21.55,747
21.6,737
21.65,767
21.7,745
21.75,713
21.8,747
21.85,728
21.9,816
21.95,789
22,815
22.05,787
22.1,813
22.15,776
22.2,802
22.25,804
22.3,809
22.35,803
22.4,841
22.45,873
22.5,824
22.55,834
22.6,862
22.65,854
22.7,854
22.75,839
22.8,791
22.85,838
22.9,838
22.95,896
23,913
23.05,935
23.1,945
23.15,949
23.2,971
23.25,925
23.3,946
23.35,949
23.4,921
23.45,935
23.5,871
23.55,870
23.6,903
23.65,839
23.7,858
23.75,889
23.8,901
23.85,891
23.9,887
23.95,901
24,907
24.05,906
24.1,900
24.15,940
24.2,956
24.25,941
24.3,960
24.35,957
24.4,946
24.45,918
24.5,940
24.55,970
24.6,915
24.65,926
24.7,939
24.75,953
24.8,922
24.85,940
24.9,940
24.95,937
25,934
25.05,955
25.1,932
25.15,975
25.2,996
25.25,1040
25.3,1065
25.35,1155
25.4,1290
25.45,1615
25.5,1862
25.55,2044
25.6,2202
25.65,2243
25.7,2020
25.75,1771
25.8,1419
25.85,1259
25.9,1122
25.95,1031
26,1056
26.05,1029
26.1,970
26.15,1007
26.2,981
26.25,1009
26.3,988
26.35,990
26.4,996
26.45,1027
26.5,1068
26.55,1074
26.6,1079
26.65,1099
26.7,1057
26.75,1022
26.8,997
26.85,977
26.9,915
26.95,929
27,898
27.05,893
27.1,894
27.15,927
27.2,893
27.25,962
27.3,995
27.35,1088
27.4,1180
27.45,1351
27.5,1478
27.55,1562
27.6,1576
27.65,1570
27.7,1462
27.75,1352
27.8,1279
27.85,1177
27.9,1146
27.95,1187
28,1142
28.05,1125
28.1,1087
28.15,1113
28.2,1070
28.25,1098
28.3,1144
28.35,1186
28.4,1265
28.45,1241
28.5,1182
28.55,1153
28.6,1066
28.65,997
28.7,954
28.75,877
28.8,863
28.85,858
28.9,851
28.95,840
29,862
29.05,902
29.1,914
29.15,925
29.2,945
29.25,960
29.3,974
29.35,1017
29.4,1030
29.45,1078
29.5,1076
29.55,1095
29.6,1126
29.65,1119
29.7,1104
29.75,1123
29.8,1088
29.85,1095
29.9,1114
29.95,1081
30,1045
30.05,1025
30.1,988
30.15,996
30.2,995
30.25,941
30.3,924
30.35,914
30.4,892
30.45,902
30.5,884
30.55,911
30.6,959
30.65,1007
30.7,1009
30.75,1065
30.8,1160
30.85,1245
30.9,1263
30.95,1376
31,1423
31.05,1415
31.1,1383
31.15,1346
31.2,1262
31.25,1209
31.3,1209
31.35,1191
31.4,1172
31.45,1111
31.5,1074
31.55,1044
31.6,1006
31.65,972
31.7,970
31.75,1026
31.8,1024
31.85,1082
31.9,1182
31.95,1263
32,1422
32.05,1601
32.1,1782
32.15,2064
32.2,2460
32.25,2850
32.3,3317
32.35,3713
32.4,3815
32.45,4041
32.5,4170
32.55,4219
32.6,4021
32.65,3859
32.7,3451
32.75,3025
32.8,2503
32.85,1986
32.9,1702
32.95,1477
33,1406
33.05,1378
33.1,1342
33.15,1309
33.2,1283
33.25,1133
33.3,1073
33.35,940
33.4,878
33.45,845
33.5,851
33.55,846
33.6,825
33.65,832
33.7,814
33.75,829
33.8,812
33.85,821
33.9,815
33.95,791
34,808
34.05,824
34.1,811
34.15,826
34.2,807
34.25,878
34.3,958
34.35,994
34.4,1161
34.45,1280
34.5,1529
34.55,1736
34.6,1986
34.65,2141
34.7,2313
34.75,2228
34.8,2205
34.85,2008
34.9,1809
34.95,1773
35,1888
35.05,1890
35.1,2058
35.15,2243
35.2,2232
35.25,2060
35.3,1923
35.35,1763
35.4,1575
35.45,1437
35.5,1286
35.55,1287
35.6,1245
35.65,1227
35.7,1241
35.75,1329
35.8,1407
35.85,1484
35.9,1556
35.95,1617
36,1815
36.05,1788
36.1,1770
36.15,1770
36.2,1614
36.25,1467
36.3,1253
36.35,1063
36.4,948
36.45,909
36.5,886
36.55,944
36.6,1038
36.65,1063
36.7,1072
36.75,1115
36.8,1077
36.85,1061
36.9,972
36.95,919
37,909
37.05,915
37.1,907
37.15,922
37.2,932
37.25,943
37.3,907
37.35,924
37.4,907
37.45,930
37.5,897
37.55,833
37.6,822
37.65,789
37.7,791
37.75,784
37.8,774
37.85,754
37.9,750
37.95,754
38,785
38.05,841
38.1,820
38.15,876
38.2,900
38.25,941
38.3,925
38.35,924
38.4,957
38.45,913
38.5,929
38.55,866
38.6,847
38.65,849
38.7,827
38.75,773
38.8,757
38.85,737
38.9,696
38.95,674
39,689
39.05,688
39.1,701
39.15,685
39.2,734
39.25,730
39.3,715
39.35,755
39.4,804
39.45,773
39.5,720
39.55,740
39.6,698
39.65,698
