#2-THETA,#INTENSITY
2,2598
2.05,3573
2.1,2793
2.15,3421
2.2,2820
2.25,2643
2.3,3093
2.35,2199
2.4,2813
2.45,2317
2.5,2209
2.55,2361
2.6,1852
2.65,2062
2.7,2090
2.75,1928
2.8,1764
2.85,1728
2.9,1579
2.95,1497
3,1455
3.05,1495
3.1,1376
3.15,1217
3.2,1284
3.25,1079
3.3,1262
3.35,1108
3.4,987
3.45,1119
3.5,935
3.55,1039
3.6,816
3.65,1035
3.7,1023
3.75,740
3.8,870
3.85,729
3.9,847
3.95,852
4,652
4.05,908
4.1,611
4.15,804
4.2,609
4.25,678
4.3,628
4.35,592
4.4,618
4.45,584
4.5,600
4.55,581
4.6,561
4.65,540
4.7,536
4.75,458
4.8,489
4.85,519
4.9,438
4.95,521
5,510
5.05,512
5.1,475
5.15,482
5.2,486
5.25,478
5.3,457
5.35,467
5.4,474
5.45,436
5.5,447
5.55,461
5.6,451
5.65,431
5.7,440
5.75,477
5.8,421
5.85,439
5.9,389
5.95,420
6,438
6.05,367
6.1,403
6.15,379
6.2,366
6.25,405
6.3,351
6.35,416
6.4,382
6.45,357
6.5,359
6.55,390
6.6,392
6.65,361
6.7,364
6.75,388
6.8,348
6.85,362
6.9,309
6.95,326
7,316
7.05,319
7.1,342
7.15,330
7.2,333
7.25,321
7.3,322
7.35,320
7.4,325
7.45,305
7.5,315
7.55,320
7.6,336
7.65,327
7.7,325
7.75,291
7.8,334
7.85,303
7.9,327
7.95,301
8,315
8.05,297
8.1,312
8.15,306
8.2,299
8.25,311
8.3,321
8.35,310
8.4,298
8.45,305
8.5,289
8.55,312
8.6,279
8.65,294
8.7,317
8.75,301
8.8,300
8.85,310
8.9,340
8.95,305
9,279
9.05,315
9.1,315
9.15,307
9.2,310
9.25,293
9.3,301
9.35,316
9.4,290
9.45,265
9.5,325
9.55,305
9.6,289
9.65,311
9.7,323
9.75,320
9.8,317
9.85,315
9.9,307
9.95,329
10,353
10.05,336
10.1,298
10.15,314
10.2,337
10.25,332
10.3,316
10.35,342
10.4,338
10.45,367
10.5,360
10.55,348
10.6,383
10.65,377
10.7,368
10.75,381
10.8,351
10.85,355
10.9,363
10.95,354
11,339
11.05,311
11.1,315
11.15,326
11.2,282
11.25,317
11.3,312
11.35,294
11.4,260
11.45,287
11.5,289
11.55,281
11.6,299
11.65,269
11.7,276
11.75,272
11.8,289
11.85,272
11.9,270
11.95,279
12,255
12.05,268
12.1,302
12.15,280
12.2,276
12.25,270
12.3,267
12.35,265
12.4,291
12.45,265
12.5,277
12.55,274
12.6,271
12.65,247
12.7,296
12.75,273
12.8,263
12.85,278
12.9,269
12.95,290
13,299
13.05,259
13.1,283
13.15,277
13.2,275
13.25,271
13.3,315
13.35,322
13.4,355
13.45,426
13.5,474
13.55,507
13.6,442
13.65,395
13.7,364
13.75,284
13.8,283
13.85,275
13.9,281
13.95,290
14,261
14.05,279
14.1,284
14.15,260
14.2,283
14.25,260
14.3,294
14.35,279
14.4,290
14.45,274
14.5,299
14.55,299
14.6,267
14.65,286
14.7,269
14.75,289
14.8,270
14.85,291
14.9,275
14.95,270
15,295
15.05,286
15.1,286
15.15,287
15.2,263
15.25,307
15.3,288
15.35,272
15.4,290
15.45,292
15.5,276
15.55,296
15.6,282
15.65,287
15.7,271
15.75,285
15.8,328
15.85,337
15.9,350
15.95,416
16,395
16.05,404
16.1,387
16.15,383
16.2,371
16.25,310
16.3,320
16.35,303
16.4,305
16.45,288
16.5,288
16.55,303
16.6,283
16.65,324
16.7,303
16.75,294
16.8,294
16.85,313
16.9,318
16.95,335
17,327
17.05,354
17.1,331
17.15,365
17.2,318
17.25,315
17.3,344
17.35,330
17.4,336
17.45,349
17.5,353
17.55,348
17.6,360
17.65,358
17.7,343
17.75,370
17.8,344
17.85,351
17.9,321
17.95,337
18,364
18.05,351
18.1,351
18.15,361
18.2,363
18.25,351
18.3,384
18.35,358
18.4,351
18.45,372
18.5,382
18.55,369
18.6,370
18.65,360
18.7,385
18.75,366
18.8,376
18.85,392
18.9,373
18.95,390
19,339
19.05,373
19.1,372
19.15,373
19.2,380
19.25,361
19.3,381
19.35,380
19.4,357
19.45,364
19.5,380
19.55,342
19.6,386
19.65,370
19.7,366
19.75,392
19.8,373
19.85,393
19.9,368
19.95,393
20,387
20.05,390
20.1,369
20.15,351
20.2,362
20.25,402
20.3,399
20.35,387
20.4,419
20.45,398
20.5,412
20.55,400
20.6,391
20.65,386
20.7,400
20.75,395
20.8,364
20.85,374
20.9,398
20.95,397
21,393
21.05,378
21.1,384
21.15,406
21.2,397
21.25,402
21.3,406
21.35,426
21.4,414
21.45,424
21.5,412
21.55,396
21.6,428
21.65,405
21.7,427
21.75,419
21.8,440
21.85,425
21.9,458
21.95,441
22,483
22.05,483
22.1,464
22.15,451
22.2,463
22.25,455
22.3,471
22.35,494
22.4,476
22.45,484
22.5,478
22.55,490
22.6,510
22.65,512
22.7,498
22.75,516
22.8,525
22.85,521
22.9,508
22.95,511
23,501
23.05,536
23.1,530
23.15,580
23.2,513
23.25,517
23.3,521
23.35,523
23.4,553
23.45,514
23.5,501
23.55,520
23.6,554
23.65,529
23.7,551
23.75,559
23.8,553
23.85,552
23.9,610
23.95,675
24,716
24.05,793
24.1,837
24.15,847
24.2,858
24.25,796
24.3,773
24.35,689
24.4,641
24.45,639
24.5,600
24.55,627
24.6,580
24.65,593
24.7,589
24.75,616
24.8,601
24.85,626
24.9,621
24.95,640
25,657
25.05,684
25.1,706
25.15,766
25.2,816
25.25,862
25.3,842
25.35,892
25.4,948
25.45,1067
25.5,1206
25.55,1305
25.6,1401
25.65,1435
25.7,1287
25.75,1124
25.8,947
25.85,777
25.9,660
25.95,608
26,592
26.05,558
26.1,570
26.15,563
26.2,566
26.25,552
26.3,582
26.35,568
26.4,566
26.45,595
26.5,595
26.55,633
26.6,657
26.65,674
26.7,666
26.75,633
26.8,621
26.85,596
26.9,572
26.95,576
27,554
27.05,563
27.1,549
27.15,549
27.2,560
27.25,532
27.3,572
27.35,600
27.4,637
27.45,719
27.5,795
27.55,904
27.6,958
27.65,948
27.7,923
27.75,838
27.8,760
27.85,700
27.9,677
27.95,684
28,777
28.05,926
28.1,1035
28.15,1111
28.2,1098
28.25,1001
28.3,948
28.35,854
28.4,794
28.45,783
28.5,766
28.55,772
28.6,694
28.65,650
28.7,597
28.75,519
28.8,512
28.85,497
28.9,505
28.95,505
29,513
29.05,501
29.1,526
29.15,534
29.2,552
29.25,548
29.3,574
29.35,595
29.4,637
29.45,688
29.5,725
29.55,767
29.6,851
29.65,849
29.7,847
29.75,853
29.8,742
29.85,731
29.9,688
29.95,663
30,573
30.05,556
30.1,547
30.15,520
30.2,530
30.25,510
30.3,488
30.35,496
30.4,500
30.45,481
30.5,464
30.55,481
30.6,501
30.65,544
30.7,546
30.75,559
30.8,604
30.85,625
30.9,660
30.95,614
31,636
31.05,612
31.1,612
31.15,589
31.2,555
31.25,506
31.3,503
31.35,474
31.4,484
31.45,489
31.5,485
31.55,462
31.6,468
31.65,450
31.7,472
31.75,483
31.8,488
31.85,490
31.9,542
31.95,538
32,607
32.05,661
32.1,746
32.15,901
32.2,1074
32.25,1296
32.3,1580
32.35,1750
32.4,1815
32.45,1812
32.5,1810
32.55,1749
32.6,1597
32.65,1522
32.7,1440
32.75,1297
32.8,1176
32.85,1003
32.9,873
32.95,702
33,656
33.05,683
33.1,694
33.15,689
33.2,731
33.25,699
33.3,644
33.35,585
33.4,535
33.45,502
33.5,475
33.55,454
33.6,465
33.65,469
33.7,476
33.75,482
33.8,502
33.85,538
33.9,556
33.95,571
34,540
34.05,520
34.1,513
34.15,479
34.2,456
34.25,439
34.3,457
34.35,486
34.4,497
34.45,523
34.5,542
34.55,571
34.6,568
34.65,589
34.7,559
34.75,582
34.8,594
34.85,537
34.9,546
34.95,515
35,526
35.05,484
35.1,497
35.15,537
35.2,551
35.25,560
35.3,624
35.35,607
35.4,631
35.45,653
35.5,624
35.55,606
35.6,608
35.65,602
35.7,586
35.75,564
35.8,529
35.85,533
35.9,529
