#2-THETA,#INTENSITY
2,12182
2.05,17871
2.1,13399
2.15,16090
2.2,18613
2.25,12555
2.3,17189
2.35,13250
2.4,13429
2.45,13512
2.5,12633
2.55,13690
2.6,11726
2.65,11407
2.7,12963
2.75,10040
2.8,10321
2.85,10320
2.9,9276
2.95,9142
3,8489
3.05,9212
3.1,7988
3.15,7496
3.2,8333
3.25,7069
3.3,7192
3.35,6713
3.4,6557
3.45,6912
3.5,5551
3.55,6478
3.6,5195
3.65,6034
3.7,5907
3.75,4516
3.8,5152
3.85,4094
3.9,4725
3.95,5177
4,4110
4.05,4710
4.1,3813
4.15,4085
4.2,4094
4.25,3587
4.3,3699
4.35,3229
4.4,3584
4.45,3607
4.5,3053
4.55,3213
4.6,2948
4.65,3062
4.7,2930
4.75,2678
4.8,2632
4.85,2824
4.9,2681
4.95,2616
5,2614
5.05,2677
5.1,2390
5.15,2364
5.2,2484
5.25,2300
5.3,2271
5.35,2162
5.4,2182
5.45,2083
5.5,2207
5.55,2054
5.6,2053
5.65,2101
5.7,1913
5.75,2045
5.8,1974
5.85,1994
5.9,1953
5.95,1697
6,1785
6.05,1721
6.1,1710
6.15,1654
6.2,1661
6.25,1753
6.3,1602
6.35,1594
6.4,1560
6.45,1544
6.5,1526
6.55,1582
6.6,1509
6.65,1537
6.7,1489
6.75,1491
6.8,1351
6.85,1452
6.9,1430
6.95,1306
7,1328
7.05,1279
7.1,1354
7.15,1343
7.2,1358
7.25,1402
7.3,1255
7.35,1326
7.4,1325
7.45,1236
7.5,1150
7.55,1290
7.6,1258
7.65,1240
7.7,1295
7.75,1229
7.8,1220
7.85,1330
7.9,1242
7.95,1228
8,1225
8.05,1207
8.1,1237
8.15,1147
8.2,1255
8.25,1207
8.3,1185
8.35,1208
8.4,1189
8.45,1158
8.5,1196
8.55,1140
8.6,1206
8.65,1283
8.7,1249
8.75,1186
8.8,1247
8.85,1204
8.9,1256
8.95,1228
9,1302
9.05,1198
9.1,1225
9.15,1259
9.2,1316
9.25,1321
9.3,1273
9.35,1244
9.4,1235
9.45,1275
9.5,1255
9.55,1338
9.6,1287
9.65,1324
9.7,1361
9.75,1369
9.8,1455
9.85,1407
9.9,1423
9.95,1512
10,1453
10.05,1482
10.1,1487
10.15,1571
10.2,1496
10.25,1628
10.3,1646
10.35,1544
10.4,1638
10.45,1580
10.5,1687
10.55,1556
10.6,1523
10.65,1494
10.7,1483
10.75,1365
10.8,1396
10.85,1262
10.9,1164
10.95,1158
11,1069
11.05,967
11.1,963
11.15,971
11.2,909
11.25,813
11.3,824
11.35,803
11.4,786
11.45,782
11.5,743
11.55,685
11.6,726
11.65,713
11.7,670
11.75,682
11.8,669
11.85,659
11.9,621
11.95,646
12,643
12.05,617
12.1,695
12.15,635
12.2,657
12.25,632
12.3,636
12.35,651
12.4,636
12.45,636
12.5,650
12.55,612
12.6,635
12.65,592
12.7,621
12.75,624
12.8,601
12.85,580
12.9,630
12.95,598
13,597
13.05,641
13.1,585
13.15,648
13.2,610
13.25,613
13.3,625
13.35,634
13.4,680
13.45,680
13.5,701
13.55,718
13.6,733
13.65,710
13.7,670
13.75,638
13.8,633
13.85,583
13.9,611
