#2-THETA,#INTENSITY
2,13444
2.05,20824
2.1,15430
2.15,19522
2.2,17022
2.25,15260
2.3,19692
2.35,11402
2.4,17135
2.45,15517
2.5,13335
2.55,13610
2.6,11706
2.65,13911
2.7,12770
2.75,11383
2.8,11665
2.85,10034
2.9,10559
2.95,9369
3,9425
3.05,9331
3.1,8112
3.15,8491
3.2,8574
3.25,6823
3.3,7857
3.35,6805
3.4,6602
3.45,7011
3.5,5850
3.55,6497
3.6,5182
3.65,6471
3.7,5553
3.75,4728
3.8,5201
3.85,4493
3.9,4864
3.95,4478
4,4260
4.05,4419
4.1,3583
4.15,4258
4.2,3381
4.25,3832
4.3,3414
4.35,3232
4.4,3538
4.45,3308
4.5,3287
4.55,2976
4.6,2881
4.65,2850
4.7,2776
4.75,2499
4.8,2630
4.85,2622
4.9,2619
4.95,2442
5,2583
5.05,2492
5.1,2411
5.15,2331
5.2,2326
5.25,2255
5.3,2126
5.35,2124
5.4,2308
5.45,2067
5.5,2146
5.55,1973
5.6,2085
5.65,1999
5.7,1964
5.75,2075
5.8,1877
5.85,1952
5.9,1866
5.95,1900
6,1954
6.05,1868
6.1,1982
6.15,1932
6.2,1956
6.25,2094
6.3,1980
6.35,2091
6.4,2015
6.45,2014
6.5,2052
6.55,2079
6.6,1996
6.65,1938
6.7,1818
6.75,1983
6.8,1661
6.85,1816
6.9,1567
6.95,1600
7,1398
7.05,1456
7.1,1402
7.15,1416
7.2,1351
7.25,1374
7.3,1336
7.35,1289
7.4,1225
7.45,1256
7.5,1228
7.55,1332
7.6,1230
7.65,1221
7.7,1323
7.75,1253
7.8,1272
7.85,1321
7.9,1180
7.95,1276
8,1191
8.05,1181
8.1,1260
8.15,1123
8.2,1234
8.25,1122
8.3,1253
8.35,1126
8.4,1133
8.45,1234
8.5,1167
8.55,1164
8.6,1091
8.65,1194
8.7,1138
8.75,1162
8.8,1224
8.85,1125
8.9,1136
8.95,1168
9,1106
9.05,1208
9.1,1179
9.15,1202
9.2,1213
9.25,1188
9.3,1146
9.35,1120
9.4,1209
9.45,1088
9.5,1254
9.55,1225
9.6,1227
9.65,1261
9.7,1261
9.75,1282
9.8,1326
9.85,1255
9.9,1301
9.95,1283
10,1313
10.05,1339
10.1,1359
10.15,1310
10.2,1355
10.25,1400
10.3,1237
10.35,1345
10.4,1301
10.45,1427
10.5,1338
10.55,1277
10.6,1328
10.65,1247
10.7,1270
10.75,1255
10.8,1226
10.85,1147
10.9,1129
10.95,1092
11,1072
11.05,1013
11.1,965
11.15,935
11.2,883
11.25,950
11.3,870
11.35,854
11.4,833
11.45,806
11.5,771
11.55,834
11.6,822
11.65,785
11.7,750
11.75,752
11.8,740
11.85,708
11.9,742
11.95,705
12,711
12.05,699
12.1,702
12.15,719
12.2,673
12.25,707
12.3,678
12.35,683
12.4,727
12.45,683
12.5,665
12.55,712
12.6,700
12.65,700
12.7,711
12.75,676
12.8,644
12.85,729
12.9,681
12.95,748
13,707
13.05,695
13.1,726
13.15,702
13.2,690
13.25,694
13.3,750
13.35,710
13.4,728
13.45,693
13.5,727
13.55,723
13.6,672
13.65,713
13.7,727
13.75,688
13.8,664
13.85,675
13.9,696
13.95,654
14,691
14.05,722
14.1,680
14.15,688
14.2,677
14.25,651
14.3,721
14.35,694
14.4,672
14.45,726
14.5,701
14.55,716
14.6,730
14.65,674
14.7,706
14.75,728
14.8,709
14.85,707
14.9,741
14.95,736
15,684
15.05,659
15.1,687
15.15,685
15.2,695
15.25,693
15.3,698
15.35,734
15.4,698
15.45,695
15.5,710
15.55,717
15.6,711
15.65,741
15.7,733
15.75,747
15.8,774
15.85,819
15.9,898
15.95,907
16,953
16.05,912
16.1,902
16.15,891
16.2,879
16.25,834
16.3,830
16.35,787
16.4,782
16.45,811
16.5,761
16.55,757
16.6,790
16.65,802
16.7,823
16.75,721
16.8,831
16.85,850
16.9,927
16.95,948
17,1030
17.05,1078
17.1,1115
17.15,993
17.2,998
17.25,968
17.3,928
17.35,932
17.4,895
17.45,914
17.5,851
17.55,861
17.6,844
17.65,848
17.7,837
17.75,811
17.8,843
17.85,815
17.9,787
17.95,847
18,835
18.05,828
18.1,841
18.15,800
18.2,841
18.25,827
18.3,799
18.35,799
18.4,847
18.45,786
18.5,810
18.55,790
18.6,853
18.65,826
18.7,803
18.75,820
18.8,818
