#2-THETA,#INTENSITY
2,3514
2.05,4953
2.1,3642
2.15,4565
2.2,5019
2.25,3622
2.3,4448
2.35,3091
2.4,4066
2.45,3537
2.5,3336
2.55,3438
2.6,2939
2.65,3085
2.7,3492
2.75,2476
2.8,2942
2.85,2588
2.9,2323
2.95,2350
3,2222
3.05,2406
3.1,2075
3.15,1907
3.2,1945
3.25,1710
3.3,1804
3.35,1751
3.4,1509
3.45,1675
3.5,1224
3.55,1605
3.6,1196
3.65,1501
3.7,1496
3.75,1084
3.8,1243
3.85,1066
3.9,1166
3.95,1263
4,1002
4.05,1220
4.1,968
4.15,1013
4.2,990
4.25,824
4.3,963
4.35,770
4.4,947
4.45,842
4.5,778
4.55,755
4.6,727
4.65,771
4.7,674
4.75,601
4.8,604
4.85,657
4.9,711
4.95,632
5,678
5.05,618
5.1,642
5.15,594
5.2,594
5.25,572
5.3,527
5.35,508
5.4,574
5.45,527
5.5,526
5.55,523
5.6,516
5.65,557
5.7,507
5.75,562
5.8,504
5.85,511
5.9,541
5.95,472
6,538
6.05,457
6.1,546
6.15,466
6.2,496
6.25,517
6.3,536
6.35,488
6.4,496
6.45,513
6.5,500
6.55,544
6.6,526
6.65,516
6.7,440
6.75,507
6.8,396
6.85,464
6.9,399
6.95,377
7,357
7.05,350
7.1,355
7.15,365
7.2,354
7.25,351
7.3,331
7.35,317
7.4,322
7.45,330
7.5,309
7.55,322
7.6,331
7.65,338
7.7,327
7.75,295
7.8,327
7.85,350
7.9,321
7.95,331
8,317
8.05,301
8.1,301
8.15,311
8.2,314
8.25,327
8.3,271
8.35,291
8.4,289
8.45,318
8.5,300
8.55,313
8.6,320
8.65,295
8.7,309
8.75,308
8.8,325
8.85,314
8.9,290
8.95,302
9,308
9.05,306
9.1,295
9.15,288
9.2,330
9.25,283
9.3,313
9.35,292
9.4,309
9.45,300
9.5,285
9.55,326
9.6,294
9.65,326
9.7,336
9.75,331
9.8,306
9.85,326
9.9,325
9.95,327
10,333
10.05,307
10.1,321
10.15,332
10.2,322
10.25,340
10.3,294
10.35,303
10.4,293
10.45,304
10.5,326
10.55,322
10.6,279
10.65,297
10.7,287
10.75,250
10.8,265
10.85,261
10.9,256
10.95,254
11,262
11.05,221
11.1,236
11.15,225
11.2,196
11.25,220
11.3,188
11.35,215
11.4,194
11.45,182
11.5,180
11.55,168
11.6,170
11.65,186
11.7,179
11.75,174
11.8,178
11.85,187
11.9,173
11.95,157
12,165
12.05,175
12.1,174
12.15,166
12.2,148
12.25,150
12.3,174
12.35,177
12.4,171
12.45,179
12.5,183
12.55,154
12.6,174
12.65,167
12.7,175
12.75,175
12.8,158
12.85,170
12.9,183
12.95,175
13,180
13.05,172
13.1,160
13.15,162
13.2,173
13.25,170
13.3,186
13.35,180
13.4,175
13.45,191
13.5,218
13.55,218
13.6,222
13.65,206
13.7,212
13.75,177
13.8,177
13.85,158
13.9,157
13.95,180
14,181
14.05,154
14.1,163
14.15,171
14.2,165
14.25,164
14.3,156
14.35,159
14.4,173
14.45,162
14.5,175
14.55,182
14.6,175
14.65,185
14.7,166
14.75,169
14.8,176
14.85,175
14.9,172
14.95,168
15,162
15.05,175
15.1,160
15.15,179
15.2,153
15.25,184
15.3,176
15.35,173
15.4,176
15.45,160
15.5,168
15.55,168
15.6,169
15.65,155
15.7,155
15.75,181
15.8,186
15.85,197
15.9,214
15.95,225
16,209
16.05,247
16.1,221
16.15,200
16.2,212
16.25,194
16.3,166
16.35,190
16.4,193
16.45,186
16.5,188
16.55,196
16.6,172
16.65,171
16.7,205
16.75,200
16.8,169
16.85,181
16.9,200
16.95,204
17,212
17.05,194
17.1,211
17.15,211
17.2,195
17.25,201
17.3,193
17.35,217
17.4,209
17.45,210
17.5,230
17.55,196
17.6,221
17.65,206
17.7,188
17.75,202
17.8,180
17.85,188
17.9,176
17.95,193
18,225
18.05,185
18.1,202
18.15,187
18.2,193
18.25,203
18.3,196
18.35,196
18.4,165
18.45,193
18.5,181
18.55,190
18.6,195
18.65,207
18.7,209
18.75,191
18.8,192
18.85,188
18.9,202
18.95,187
19,204
19.05,181
19.1,192
19.15,185
19.2,190
19.25,179
19.3,198
19.35,196
19.4,182
19.45,203
19.5,194
19.55,194
19.6,200
19.65,213
19.7,206
19.75,204
19.8,171
19.85,219
19.9,215
19.95,205
20,206
20.05,197
20.1,200
20.15,215
20.2,228
20.25,230
20.3,245
20.35,242
20.4,232
20.45,209
20.5,216
20.55,215
20.6,220
20.65,226
20.7,225
20.75,221
20.8,240
20.85,222
20.9,214
20.95,231
21,224
21.05,221
21.1,220
21.15,220
21.2,232
21.25,227
21.3,223
21.35,207
21.4,239
21.45,223
21.5,232
21.55,226
21.6,226
21.65,227
21.7,231
21.75,235
21.8,227
21.85,250
21.9,232
21.95,270
22,238
22.05,257
22.1,266
22.15,239
22.2,238
22.25,256
22.3,258
22.35,273
22.4,258
22.45,286
22.5,292
22.55,295
22.6,306
22.65,309
22.7,325
22.75,342
22.8,324
22.85,331
22.9,348
22.95,350
23,361
23.05,353
23.1,369
23.15,334
23.2,322
23.25,342
23.3,336
23.35,307
23.4,330
23.45,322
23.5,317
23.55,305
23.6,319
23.65,312
23.7,306
23.75,310
23.8,336
23.85,304
23.9,310
23.95,304
24,336
24.05,343
24.1,343
24.15,350
24.2,341
24.25,347
24.3,345
24.35,315
24.4,331
24.45,293
24.5,304
24.55,308
24.6,308
24.65,303
24.7,317
24.75,305
24.8,306
24.85,284
24.9,304
24.95,307
25,306
25.05,292
25.1,299
25.15,295
25.2,299
25.25,314
25.3,317
25.35,334
25.4,319
25.45,367
25.5,426
25.55,460
25.6,471
25.65,453
25.7,480
25.75,440
25.8,398
25.85,346
25.9,335
25.95,283
26,270
26.05,293
26.1,273
26.15,305
26.2,276
26.25,296
26.3,291
26.35,289
26.4,283
26.45,286
26.5,280
26.55,313
26.6,299
26.65,334
26.7,330
26.75,319
26.8,333
26.85,312
26.9,307
26.95,304
27,300
27.05,281
27.1,292
27.15,279
27.2,287
27.25,289
27.3,299
27.35,303
27.4,325
27.45,337
27.5,388
27.55,378
27.6,400
27.65,391
27.7,416
27.75,382
27.8,369
27.85,372
27.9,335
27.95,349
28,332
28.05,352
28.1,376
28.15,361
28.2,400
28.25,388
28.3,352
28.35,374
28.4,383
28.45,365
28.5,373
28.55,345
28.6,360
28.65,348
28.7,336
28.75,293
28.8,286
28.85,283
28.9,269
28.95,284
29,287
29.05,291
29.1,293
29.15,307
29.2,317
29.25,319
29.3,357
29.35,362
29.4,386
29.45,431
29.5,488
29.55,537
29.6,616
29.65,653
29.7,653
29.75,636
29.8,610
29.85,522
29.9,480
29.95,408
30,415
30.05,345
30.1,342
30.15,315
30.2,332
30.25,318
30.3,298
30.35,285
30.4,298
30.45,294
30.5,288
30.55,294
30.6,294
30.65,298
30.7,306
30.75,311
30.8,288
30.85,306
30.9,330
30.95,299
31,320
31.05,305
31.1,310
31.15,306
31.2,301
31.25,308
31.3,310
31.35,313
31.4,291
31.45,317
31.5,306
31.55,292
31.6,272
31.65,294
31.7,290
31.75,292
31.8,274
31.85,305
31.9,312
31.95,326
32,313
32.05,357
32.1,375
32.15,428
32.2,461
32.25,514
32.3,565
32.35,615
32.4,629
32.45,634
32.5,588
32.55,578
32.6,570
32.65,562
32.7,526
32.75,482
32.8,438
32.85,423
32.9,395
32.95,362
33,359
33.05,339
33.1,349
33.15,323
33.2,335
33.25,344
33.3,291
33.35,295
33.4,296
33.45,284
33.5,303
33.55,282
33.6,273
33.65,268
33.7,291
33.75,304
33.8,300
33.85,324
33.9,335
33.95,315
34,279
34.05,276
34.1,270
34.15,278
34.2,247
34.25,237
34.3,249
34.35,252
34.4,257
34.45,263
34.5,273
34.55,278
34.6,308
34.65,297
34.7,297
34.75,278
34.8,273
34.85,282
34.9,273
34.95,295
35,262
35.05,288
35.1,272
35.15,264
35.2,272
35.25,292
35.3,281
35.35,283
35.4,295
35.45,316
35.5,296
35.55,274
35.6,279
35.65,275
35.7,266
35.75,266
35.8,280
35.85,275
35.9,270
35.95,274
36,293
36.05,271
36.1,266
36.15,270
36.2,270
36.25,279
36.3,281
36.35,286
36.4,289
36.45,304
36.5,330
36.55,303
36.6,354
36.65,349
36.7,348
36.75,343
36.8,317
36.85,332
36.9,321
36.95,302
37,283
37.05,279
37.1,263
37.15,276
37.2,252
37.25,260
37.3,252
37.35,252
37.4,235
37.45,249
37.5,259
37.55,237
37.6,258
37.65,234
37.7,238
37.75,232
37.8,221
37.85,233
37.9,225
37.95,243
38,250
38.05,232
38.1,238
38.15,248
38.2,247
38.25,260
38.3,273
38.35,291
38.4,313
38.45,314
38.5,371
38.55,379
38.6,437
38.65,454
38.7,482
38.75,517
38.8,511
38.85,483
38.9,462
38.95,381
39,382
39.05,344
39.1,312
39.15,279
39.2,275
39.25,265
39.3,246
39.35,256
39.4,256
39.45,243
39.5,241
39.55,240
39.6,238
39.65,227
39.7,217
39.75,228
39.8,205
39.85,218
39.9,225
39.95,229
40,223
40.05,227
40.1,239
40.15,230
40.2,243
40.25,232
40.3,229
40.35,237
40.4,253
40.45,245
40.5,241
40.55,257
40.6,268
40.65,263
40.7,268
40.75,265
40.8,247
40.85,254
40.9,296
40.95,266
41,269
41.05,293
41.1,304
41.15,297
41.2,320
41.25,332
41.3,331
41.35,334
41.4,355
41.45,384
41.5,404
41.55,433
41.6,469
41.65,505
41.7,465
41.75,509
41.8,475
41.85,417
41.9,443
41.95,384
42,339
42.05,340
42.1,312
42.15,316
42.2,292
42.25,298
42.3,285
42.35,276
42.4,275
42.45,268
42.5,259
42.55,256
42.6,262
42.65,262
42.7,256
42.75,253
42.8,260
42.85,267
42.9,242
42.95,266
43,241
43.05,232
43.1,258
43.15,254
43.2,219
43.25,234
43.3,219
43.35,219
43.4,233
43.45,234
43.5,247
43.55,232
43.6,238
43.65,250
43.7,239
43.75,244
43.8,213
43.85,213
43.9,216
43.95,215
44,218
44.05,233
44.1,223
44.15,244
44.2,239
44.25,228
44.3,216
44.35,216
44.4,231
44.45,223
44.5,212
44.55,221
44.6,211
44.65,215
44.7,198
44.75,227
44.8,221
44.85,216
44.9,206
44.95,215
45,235
45.05,232
45.1,254
45.15,229
45.2,242
45.25,251
45.3,243
45.35,266
45.4,232
45.45,251
45.5,233
45.55,239
45.6,248
45.65,221
45.7,237
45.75,242
45.8,226
45.85,248
45.9,237
45.95,234
46,248
46.05,252
46.1,254
46.15,250
46.2,234
46.25,238
46.3,214
46.35,225
46.4,224
46.45,230
46.5,229
46.55,203
46.6,228
46.65,208
46.7,228
46.75,218
46.8,216
46.85,218
46.9,202
46.95,207
47,208
47.05,189
47.1,219
47.15,200
47.2,214
47.25,223
47.3,227
47.35,214
47.4,240
47.45,230
47.5,262
47.55,259
47.6,269
47.65,283
47.7,290
47.75,309
47.8,295
47.85,351
47.9,318
47.95,314
48,316
48.05,305
48.1,295
48.15,259
48.2,264
48.25,260
48.3,257
48.35,243
48.4,230
48.45,222
48.5,252
48.55,215
48.6,202
48.65,206
48.7,202
48.75,233
48.8,221
48.85,216
48.9,214
48.95,217
49,222
49.05,201
49.1,206
49.15,216
49.2,211
49.25,205
49.3,227
49.35,241
49.4,191
49.45,224
49.5,247
49.55,224
49.6,206
49.65,247
49.7,218
49.75,214
49.8,234
49.85,250
49.9,232
49.95,233
50,231
50.05,230
50.1,225
50.15,222
50.2,223
50.25,200
50.3,220
50.35,224
50.4,224
50.45,215
50.5,207
50.55,225
50.6,210
50.65,210
50.7,226
50.75,200
50.8,232
50.85,223
50.9,227
50.95,211
51,225
51.05,238
51.1,210
51.15,212
51.2,220
51.25,234
51.3,223
51.35,223
51.4,224
51.45,227
51.5,220
51.55,224
51.6,195
51.65,228
51.7,220
51.75,222
51.8,208
51.85,219
51.9,204
51.95,189
52,305
